Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\suite\test_select.py                            | Python           |      1,423 |         16 |        240 |      1,679 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\suite\test_sequence.py                          | Python           |        241 |          0 |         42 |        283 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\suite\test_types.py                             | Python           |      1,102 |         60 |        269 |      1,431 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\suite\test_unicode_ddl.py                       | Python           |        185 |          3 |         19 |        207 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\suite\test_update_delete.py                     | Python           |         50 |          0 |         10 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\util.py                                         | Python           |        264 |         97 |         98 |        459 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\testing\warnings.py                                     | Python           |        102 |         33 |         19 |        154 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\types.py                                                | Python           |        103 |          9 |          4 |        116 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\__init__.py                                        | Python           |        162 |          6 |          4 |        172 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\_collections.py                                    | Python           |        714 |        123 |        253 |      1,090 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\_concurrency_py3k.py                               | Python           |        103 |         61 |         32 |        196 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\_preloaded.py                                      | Python           |         22 |         36 |         11 |         69 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\compat.py                                          | Python           |        427 |         74 |        128 |        629 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\concurrency.py                                     | Python           |         44 |          2 |         14 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\deprecations.py                                    | Python           |        286 |         45 |         75 |        406 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\langhelpers.py                                     | Python           |      1,211 |        392 |        339 |      1,942 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\queue.py                                           | Python           |        156 |         86 |         50 |        292 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\util\topological.py                                     | Python           |         52 |         26 |         23 |        101 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\__init__.py                                               | Python           |          5 |          0 |          2 |          7 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\_internal.py                                              | Python           |        401 |         93 |        133 |        627 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\_reloader.py                                              | Python           |        269 |         70 |         92 |        431 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\datastructures.py                                         | Python           |      1,594 |        996 |        462 |      3,052 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\datastructures.pyi                                        | Python           |        858 |          0 |         49 |        907 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\debug\__init__.py                                         | Python           |        346 |         90 |         66 |        502 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\debug\console.py                                          | Python           |        158 |          7 |         47 |        212 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\werkzeug\debug\repr.py                                             | Python           |        221 |         27 |         37 |        285 |
